13:59:38 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Within getMoreButtonByFilterTypeAndName method
13:59:38 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] could not find more button
13:59:39 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Within getAppliedfilterByTypeAndName method
13:59:39 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Within smoothScrollToElement method
13:59:39 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Within safeFindElement method
13:59:40 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02]Found the element returning it ,element ->[[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Battery Capacity']]
13:59:41 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Successfully scrolled to element: By.xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Battery Capacity']
13:59:41 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Within getMoreButtonByFilterTypeAndName method
13:59:41 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] could not find more button
13:59:41 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Within getfilterByTypeAndName method
13:59:41 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Within smoothScrollToElement method
13:59:41 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Within safeFindElement method
13:59:41 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02]Found the element returning it ,element ->[[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Battery Capacity']/parent::div/following-sibling::ul//span[@class='a-size-base a-color-base a-text-bold' and text()='Up to 2,999 mAh']]
13:59:41 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Successfully scrolled to element: By.xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Battery Capacity']/parent::div/following-sibling::ul//span[@class='a-size-base a-color-base a-text-bold' and text()='Up to 2,999 mAh']
13:59:41 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Clicked the element using safe click ,element is [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Battery Capacity']/parent::div/following-sibling::ul//span[@class='a-size-base a-color-base' and text()='Up to 2,999 mAh']]
13:59:41 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Within safeFindElements 
13:59:41 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Returning the  [[[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']]] from the safeFindElements method
13:59:41 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Execution is Not CRON Job Hence refering to normal keys from UtilData
13:59:41 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Within safeFindElements 
13:59:41 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Returning the  [[[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@data-cy='title-recipe']]] from the safeFindElements method
13:59:41 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Within productNameListingPage loop in applyFilterAndValidateProductsWithResult
13:59:41 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Within getProductByIndex method
13:59:41 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Within safeFindElement method
13:59:41 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02]Found the element returning it ,element ->[[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: (//div[@data-cy='title-recipe'])[1]]
13:59:41 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Within getProductByIndex method
13:59:41 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Within smoothScrollToElement method
13:59:41 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Within safeFindElement method
13:59:42 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02]Found the element returning it ,element ->[[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: (//div[@data-cy='title-recipe'])[1]]
13:59:42 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Successfully scrolled to element: By.xpath: (//div[@data-cy='title-recipe'])[1]
13:59:42 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Getting product by index in productNameListingPage loop
13:59:43 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Opened product in new tab via Ctrl+Click inside productNameListingPage loop
13:59:43 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Waiting for new window to open...
13:59:43 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Switched to new window -> F6DA082C1D2179D392B2D5135424D711
13:59:43 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Swithcing to the new window  within productNameListingPage loop
13:59:43 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Clicked product name to open in new tab from productNameListingPage loop
13:59:43 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Waiting until element is visible in viewport
13:59:47 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Within safeFindElement method
13:59:47 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02]Found the element returning it ,element ->[[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //span[@id='productTitle']]
13:59:47 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Within safeFindElement method
13:59:47 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02]Found the element returning it ,element ->[[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']]
13:59:47 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Within safeFindElement method
13:59:48 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02]Found the element returning it ,element ->[[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@id='feature-bullets']]
13:59:48 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Within safeFindElement method
13:59:48 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02]Found the element returning it ,element ->[[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //div[@id='prodDetails']]
13:59:48 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Extracting 'name' , 'keyFeatures', 'about' , 'techDetails' within productNameListingPage loop
13:59:48 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Waiting until element is visible in viewport
13:59:48 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Within smoothScrollToElement method
13:59:48 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Within safeFindElement method
13:59:53 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02]Retrying findElement for: ->By.xpath: //a[@id='seeMoreDetailsLink']
13:59:55 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02]Refrehsing the page , while trying to safely find : ->By.xpath: //a[@id='seeMoreDetailsLink']
14:00:00 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02]Retrying findElement for: ->By.xpath: //a[@id='seeMoreDetailsLink']
14:00:04 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02]Refrehsing the page , while trying to safely find : ->By.xpath: //a[@id='seeMoreDetailsLink']
14:00:04 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Skipping action: Element not found after 2   attemps
