13:13:25 [TestNG-test-Test-1] INFO  verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05 - [verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05]Retrying findElement for: ->By.xpath: //a[@aria-label='See more, Operating System']
13:13:26 [TestNG-test-Test-1] INFO  verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05 - [verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05]Refrehsing the page , while trying to safely find : ->By.xpath: //a[@aria-label='See more, Operating System']
13:13:26 [TestNG-test-Test-1] INFO  verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05 - [verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05] Skipping action: Element not found after 2   attemps
13:13:26 [TestNG-test-Test-1] INFO  verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05 - [verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05] checkMoreButtonScrollClick failed: Cannot invoke "org.openqa.selenium.WebElement.isDisplayed()" because the return value of "main.java.amazonfilterapplicatione2e.safeActions.SafeActions.safeFindElement(org.openqa.selenium.By)" is null
13:13:27 [TestNG-test-Test-1] INFO  verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05 - [verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05] Within getAppliedfilterByTypeAndName method
13:13:27 [TestNG-test-Test-1] INFO  verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05 - [verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05] Within smoothScrollToElement method
13:13:27 [TestNG-test-Test-1] INFO  verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05 - [verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05] Within safeFindElement method
13:13:28 [TestNG-test-Test-1] INFO  verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05 - [verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05]Found the element returning it ,element ->[[ChromeDriver: chrome on windows (ec0adab6ebf6c004d168744f3bae18f9)] -> xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Operating System']]
13:13:28 [TestNG-test-Test-1] INFO  verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05 - [verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05] Successfully scrolled to element: By.xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Operating System']
13:13:28 [TestNG-test-Test-1] INFO  verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05 - [verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05] Within getMoreButtonByFilterTypeAndName method
13:13:28 [TestNG-test-Test-1] INFO  verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05 - [verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05] Within safeFindElement method
13:13:33 [TestNG-test-Test-1] INFO  verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05 - [verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05]Retrying findElement for: ->By.xpath: //a[@aria-label='See more, Operating System']
13:13:35 [TestNG-test-Test-1] INFO  verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05 - [verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05]Refrehsing the page , while trying to safely find : ->By.xpath: //a[@aria-label='See more, Operating System']
13:13:40 [TestNG-test-Test-1] INFO  verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05 - [verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05]Retrying findElement for: ->By.xpath: //a[@aria-label='See more, Operating System']
13:13:41 [TestNG-test-Test-1] INFO  verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05 - [verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05]Refrehsing the page , while trying to safely find : ->By.xpath: //a[@aria-label='See more, Operating System']
13:13:41 [TestNG-test-Test-1] INFO  verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05 - [verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05] Skipping action: Element not found after 2   attemps
13:13:41 [TestNG-test-Test-1] INFO  verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05 - [verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05] checkMoreButtonScrollClick failed: Cannot invoke "org.openqa.selenium.WebElement.isDisplayed()" because the return value of "main.java.amazonfilterapplicatione2e.safeActions.SafeActions.safeFindElement(org.openqa.selenium.By)" is null
13:13:41 [TestNG-test-Test-1] INFO  verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05 - [verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05] Within getfilterByTypeAndName method
13:13:41 [TestNG-test-Test-1] INFO  verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05 - [verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05] Within smoothScrollToElement method
13:13:41 [TestNG-test-Test-1] INFO  verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05 - [verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05] Within safeFindElement method
13:13:41 [TestNG-test-Test-1] INFO  verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05 - [verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05]Found the element returning it ,element ->[[ChromeDriver: chrome on windows (ec0adab6ebf6c004d168744f3bae18f9)] -> xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Operating System']/parent::div/following-sibling::ul//span[@class='a-size-base a-color-base a-text-bold' and text()='Windows 11 Home']]
13:13:41 [TestNG-test-Test-1] INFO  verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05 - [verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05] Successfully scrolled to element: By.xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Operating System']/parent::div/following-sibling::ul//span[@class='a-size-base a-color-base a-text-bold' and text()='Windows 11 Home']
13:13:41 [TestNG-test-Test-1] INFO  verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05 - [verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05] Clicked the element using safe click ,element is [[ChromeDriver: chrome on windows (ec0adab6ebf6c004d168744f3bae18f9)] -> xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Operating System']/parent::div/following-sibling::ul//span[@class='a-size-base a-color-base' and text()='Windows 11 Home']]
13:13:42 [TestNG-test-Test-1] INFO  verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05 - [verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05] Within safeFindElements 
