18:54:53 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] could not find more button
18:54:53 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Within getfilterByTypeAndName method
18:54:53 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Within smoothScrollToElement method
18:54:53 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Within safeFindElement method
18:54:53 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42]Found the element returning it ,element ->[[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Discount']/parent::div/following-sibling::ul//span[@class='a-size-base a-color-base a-text-bold' and text()='10% Off or more']]
18:54:53 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Successfully scrolled to element: By.xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Discount']/parent::div/following-sibling::ul//span[@class='a-size-base a-color-base a-text-bold' and text()='10% Off or more']
18:54:53 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Clicked the element using safe click ,element is [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Discount']/parent::div/following-sibling::ul//span[@class='a-size-base a-color-base' and text()='10% Off or more']]
18:54:54 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Within safeFindElements 
18:54:54 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Returning the  [[[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']]] from the safeFindElements method
18:54:54 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Execution is scheduled type /CRON Job on CI Hence refering to CI keys from UtilData
18:54:54 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Within safeFindElements 
18:54:54 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Returning the  [[[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@data-cy='title-recipe']]] from the safeFindElements method
18:54:54 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Within productNameListingPage loop in applyFilterAndValidateProductsWithResult
18:54:54 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Within getProductByIndex method
18:54:54 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Within safeFindElement method
18:54:54 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42]Found the element returning it ,element ->[[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: (//div[@data-cy='title-recipe'])[1]]
18:54:54 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Within getProductByIndex method
18:54:54 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Within smoothScrollToElement method
18:54:54 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Within safeFindElement method
18:54:54 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42]Found the element returning it ,element ->[[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: (//div[@data-cy='title-recipe'])[1]]
18:54:54 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Successfully scrolled to element: By.xpath: (//div[@data-cy='title-recipe'])[1]
18:54:54 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Getting product by index in productNameListingPage loop
18:54:55 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Opened product in new tab via Ctrl+Click inside productNameListingPage loop
18:54:55 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Waiting for new window to open...
18:54:55 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Switched to new window -> 7C5D1690BF869A2A193B3443FD614427
18:54:55 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Swithcing to the new window  within productNameListingPage loop
18:54:55 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Clicked product name to open in new tab from productNameListingPage loop
18:54:55 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Within safeFindElement method
18:55:04 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42]Found the element returning it ,element ->[[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //span[@id='productTitle']]
18:55:04 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Within safeFindElement method
18:55:04 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42]Found the element returning it ,element ->[[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']]
18:55:04 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Within safeFindElement method
18:55:04 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42]Found the element returning it ,element ->[[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@id='feature-bullets']]
18:55:04 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Within safeFindElement method
18:55:04 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42]Found the element returning it ,element ->[[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //div[@id='prodDetails']]
18:55:04 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Extracting 'name' , 'keyFeatures', 'about' , 'techDetails' within productNameListingPage loop
18:55:04 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Waiting until element is visible in viewport
18:55:04 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Within smoothScrollToElement method
18:55:04 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Within safeFindElement method
18:55:09 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42]Retrying findElement for: ->By.xpath: //a[@id='seeMoreDetailsLink']
18:55:12 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42]Refrehsing the page , while trying to safely find : ->By.xpath: //a[@id='seeMoreDetailsLink']
18:55:17 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42]Retrying findElement for: ->By.xpath: //a[@id='seeMoreDetailsLink']
18:55:21 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42]Refrehsing the page , while trying to safely find : ->By.xpath: //a[@id='seeMoreDetailsLink']
18:55:21 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Skipping action: Element not found after 2   attemps
18:55:21 [TestNG-test-Test-2] WARN  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Element not found for locator: By.xpath: //a[@id='seeMoreDetailsLink']
18:55:21 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Within safeClick method
18:55:27 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Cannot click the butto using safeClick, trying again
